Municipio;populacao
Santana da Ponte Pensa;1670
Santana de Parnaíba;154105
Santa Rita d'Oeste;2733
Santa Rita do Passa Quatro;24833
Santa Rosa de Viterbo;23411
Santa Salete;1645
Santo Anastácio;17963
Santo André;748919
Santo Antônio da Alegria;6775
Santo Antônio de Posse;23244
Santo Antônio do Aracanguá;8379
Santo Antônio do Jardim;6126
Santo Antônio do Pinhal;7133
Santo Expedito;3000
Santópolis do Aguapeí;3899
Santos;418608
São Bento do Sapucaí;11674
São Bernardo do Campo;810729
São Caetano do Sul;165655
São Carlos;254857
São Francisco;2602
São João da Boa Vista;92547
São João das Duas Pontes;2580
São João de Iracema;1846
São João do Pau d'Alho;2242
São Joaquim da Barra;48558
São José da Bela Vista;7626
São José do Barreiro;3853
São José do Rio Pardo;52205
São José do Rio Preto;480393
São José dos Campos;697054
São Lourenço da Serra;16067
São Luiz do Paraitinga;10337
São Manuel;37289
São Miguel Arcanjo;32039
São Paulo;11451999
São Pedro;38256
São Pedro do Turvo;7217
São Roque;79484
São Sebastião;81595
São Sebastião da Grama;10441
São Simão;13442
São Vicente;329911
Sarapuí;10369
Sarutaiá;3704
Sebastianópolis do Sul;3130
Serra Azul;12746
Serrana;43909
Serra Negra;29894
Sertãozinho;126887
Sete Barras;12730
Severínia;14576
Silveiras;6186
Socorro;40122
Sorocaba;723682
Sud Mennucci;7355
Sumaré;279545
Suzano;307429
Suzanápolis;3408
Tabapuã;11323
Tabatinga;14769
Taboão da Serra;273542
Taciba;6260
Taguaí;12669
Taiaçu;5677
Taiúva;6548
Tambaú;21435
Tanabi;25265
Tapiraí;7996
Tapiratiba;11816
Taquaral;2619
Taquaritinga;52260
Taquarituba;24350
Taquarivaí;6876
Tarabai;6536
Tarumã;14882
Tatuí;123942
Taubaté;310739
Tejupá;4127
Teodoro Sampaio;22173
Terra Roxa;7904
Tietê;37663
Timburi;2464
Torre de Pedra;2046
Torrinha;9335
Trabiju;1682
Tremembé;51173
Três Fronteiras;6804
Tuiuti;6778
Tupã;63928
Tupi Paulista;15854
Turiúba;1818
Turmalina;1669
Ubarana;5365
Ubatuba;92981
Ubirajara;5132
Uchoa;10394
União Paulista;1603
Urânia;8833
Uru;1387
Urupês;13744
Valentim Gentil;14098
Valinhos;126373
Valparaíso;24241
Vargem;10512
Vargem Grande do Sul;40133
Vargem Grande Paulista;50415
Várzea Paulista;115771
Vera Cruz;10176
Vinhedo;76540
Viradouro;17414
Vista Alegre do Alto;8109
Vitória Brasil;1794
Votorantim;127923
Votuporanga;96634
Zacarias;2692
Chavantes;12211
Estiva Gerbi;11295
;
;
Notas:;
Escolarização 6 a 14 anos : [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100;
Fontes:;
Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE, 2023;
População residente: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023;
Densidade demográfica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023;
Escolarização 6 a 14 anos : IBGE, Censo Demográfico 2010;
IDHM Índice de desenvolvimento humano municipal : Programa das Nações Unidas para o Desenvolvimento - PNUD;
Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2017;
Receitas realizadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018;
Despesas empenhadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018;
PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA;
